ID,image_name,time,place,temperature,humidity,sun_light,soil_moist,API_health,API_water,API_water_def,validation,soil_validation
1,2025-07-16T00:00:14_h.jpg,2025-07-16T00:00:14,h,22.666,51.654,0.0,1.564,75.5,29.0,0,yes,A
2,2025-07-16T08:16:57_Home.jpg,2025-07-16T08:16:57,Home,22.017,63.101,14396.0,0.0,80.8,15.0,14.0,yes,A
3,2025-07-16T08:18:59_Home.jpg,2025-07-16T08:18:59,Home,22.062,62.792,14396.0,0.0,98.6,2.8,1.6,yes,A
4,2025-07-16T08:20:07_Home.jpg,2025-07-16T08:20:07,Home,22.018,63.310,14396.0,0.0,27.3,48.0,21.7,yes,A
5,2025-07-16T08:20:57_Home.jpg,2025-07-16T08:20:57,Home,22.022,63.412,14396.0,61.290,48.4,51.5,23.3,yes,B
6,2025-07-16T08:24:03_Home.jpg,2025-07-16T08:24:03,Home,22.089,62.609,14396.0,0.0,79.8,15.4,7.7,yes,A
7,2025-07-16T08:24:58_Home.jpg,2025-07-16T08:24:58,Home,22.118,61.987,14396.0,0.0,92.0,6.2,2.0,yes,A
8,2025-07-16T08:26:05_Home.jpg,2025-07-16T08:26:05,Home,22.410,61.242,43798.0,28.837,46.2,42.3,10.7,no,B
9,2025-07-16T08:57:19_Uni.jpg,2025-07-16T08:57:19,Uni,21.353,68.278,37942.0,0.0,36.5,26.2,10.1,yes,A
10,2025-07-16T08:58:14_Uni.jpg,2025-07-16T08:58:14,Uni,21.418,68.211,37942.0,0.0,42.6,23.7,13.2,yes,A
11,2025-07-16T08:59:19_Uni.jpg,2025-07-16T08:59:19,Uni,21.564,68.589,37942.0,22.190,24.6,30.7,11.3,yes,B
12,2025-07-16T09:00:13_Uni.jpg,2025-07-16T09:00:13,Uni,21.775,67.449,37942.0,0.0,68.1,13.0,0,yes,A
13,2025-07-16T09:01:11_Uni.jpg,2025-07-16T09:01:11,Uni,22.436,64.585,37942.0,7.331,65.0,0,0,yes,A
